Title,Description,Lat,Long
South Seattle College,"<h2>Goal</h2>
<p>Establish a community center with computer lab and job center</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Job center located at SSCC Georgetown Annex</p>
<h2>Challenges and Barriers</h2>
<p>Have a community space in Georgetown City Hall</p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Old City Hall,"<h2>Goal</h2>
<p>Mini-City Hall in Old City Hall with bulletin board, meeting rooms. </p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Georgetown City Hall restoration completed and GCC given permanent use of one room and shared use of a large meeting room.  However, public access is not 24/7</p>
<h2>Challenges and Barriers</h2>
<p>Current owners use most of the building</p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Steam Plant,"<h2>Goal</h2>
<p>City support and endorsement of the Steam Plant Museum</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Seattle City Light is working on moving this forward</p>
<h2>Challenges and Barriers</h2>
<p>SCL is still working with KCIA to establish permenant access to the site.</p>
<h2>Next Steps</h2>
<p>Work with SCL on their strategic plan for steam plant.</p>",44.666,-122.123
Carleton Grocery,"<h2>Goal</h2>
<p>Attract a grocery store</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Carleton Grocery established in 2008</p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
old Georgetown Elementary School,"<h2>Goal</h2>
<p>Maintain the old Georgetown Elementary School building; make available for community use; consider joint use by an elementary school </p>
<h2>Status</h2>
<p>Dead</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
CDL Recycling,"<h2>Goal</h2>
<p></p>
<h2>Status</h2>
<p></p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Waste Management,"<h2>Goal</h2>
<p></p>
<h2>Status</h2>
<p></p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
Gateway Park,"<h2>Goal</h2>
<p>Expand and enhance Gateway Park</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Community chose to redirect efforts towards other projects. Duwamish River cleanup plan includes plans to create salmon habitat.</p>
<h2>Challenges and Barriers</h2>
<p>Challenging partnering with local businesses to maintain street.</p>
<h2>Next Steps</h2>
<p>Need to follow up on the current ownership status of steam plant pumphouse.</p>",44.666,-122.123
Baily Street,"<h2>Goal</h2>
<p>Develop safe connections to link Georgetown’s residential area south of Bailey with the Georgetown Playfield.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p>Michigan Street heavy volume; high speeds coming off the freeway at Corson.</p>
<h2>Next Steps</h2>
<p>Neighborhood street fund opportunities</p>",44.666,-122.123
Airport way & 13th ave,"<h2>Goal</h2>
<p>Add pocket parks at Airport and 13th intersection</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and Barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>",44.666,-122.123
