Title,Description,Lat,Long
South Seattle College,"<h2>Goal</h2>
<p>Establish a community center with computer lab and job center</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Job center located at SSCC Georgetown Annex</p>
<h2>Challenges and barriers</h2>
<p>Have a community space in Georgetown City Hall</p>
<h2>Next Steps</h2>
<p></p>
",47.6101378004441,-122.318062004059
Old City Hall,"<h2>Goal</h2>
<p>Mini-City Hall in Old City Hall with bulletin board, meeting rooms. </p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Georgetown City Hall restoration completed and GCC given permanent use of one room and shared use of a large meeting room.  However, public access is not 24/7</p>
<h2>Challenges and barriers</h2>
<p>Current owners use most of the building</p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
Steam Plant,"<h2>Goal</h2>
<p>City support and endorsement of the Steam Plant Museum</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Seattle City Light is working on moving this forward</p>
<h2>Challenges and barriers</h2>
<p>SCL is still working with KCIA to establish permenant access to the site.</p>
<h2>Next Steps</h2>
<p>Work with SCL on their strategic plan for steam plant.</p>
",47.6062077998013,-122.332072004288
Carleton Grocery,"<h2>Goal</h2>
<p>Attract a grocery store</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Carleton Grocery established in 2008</p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
old Georgetown Elementary School,"<h2>Goal</h2>
<p>Maintain the old Georgetown Elementary School building; make available for community use; consider joint use by an elementary school </p>
<h2>Status</h2>
<p>Dead</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
CDL Recycling,"<h2>Goal</h2>
<p></p>
<h2>Status</h2>
<p></p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
Waste Management,"<h2>Goal</h2>
<p></p>
<h2>Status</h2>
<p></p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
Gateway Park,"<h2>Goal</h2>
<p>Expand and enhance Gateway Park</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Community chose to redirect efforts towards other projects. Duwamish River cleanup plan includes plans to create salmon habitat.</p>
<h2>Challenges and barriers</h2>
<p>Challenging partnering with local businesses to maintain street.</p>
<h2>Next Steps</h2>
<p>Need to follow up on the current ownership status of steam plant pumphouse.</p>
",47.6350878045328,-122.301312003784
Baily Street,"<h2>Goal</h2>
<p>Develop safe connections to link Georgetown’s residential area south of Bailey with the Georgetown Playfield.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p>Michigan Street heavy volume; high speeds coming off the freeway at Corson.</p>
<h2>Next Steps</h2>
<p>Neighborhood street fund opportunities</p>
",47.5475977901987,-122.318822004071
Airport way & 13th ave,"<h2>Goal</h2>
<p>Add pocket parks at Airport and 13th intersection</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.5485677903562,-122.315942004024
Doris St. & Airport Way,"<h2>Goal</h2>
<p>Add a pocket park or plaza at the corner of Doris and Airport</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Now the Trailer Park Mall</p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.5501177906107,-122.317782004054
Georgetown Playfield,"<h2>Goal</h2>
<p>Improve the Playfield / encourage local use of Playfield</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Playfield improvements to include turf grass for leagues and a small grass area for community pickup games</p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Completed. Park is in heavy and constant use.</p>
",47.5515077908393,-122.32118200411
Main Street,"<h2>Goal</h2>
<p>""Main Street"" revitalization / attract investment</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Airport way is revitalized</p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Identify other streets that could be revitalized</p>
",47.6000077987852,-122.311520039528
Oxbow Park,"<h2>Goal</h2>
<p>Hat and Boots preservation</p>
<h2>Status</h2>
<p>Complete</p>
<h2>Progress Detail</h2>
<p>Hat & Boots moved</p>
<h2>Challenges and barriers</h2>
<p>Ongoing graffitti problem with Boots</p>
<h2>Next Steps</h2>
<p>Restoration of the Hat; repainting the Boots</p>
",47.544967789767,-122.321602004117
Train station stop,"<h2>Goal</h2>
<p>Train station stop</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>A Link stop at Boeing Access Road is included in initial study of Sound Transit 3 funding</p>
<h2>Challenges and barriers</h2>
<p>One of many things being considered</p>
<h2>Next Steps</h2>
<p></p>
",47.508057783719,-122.278332003408
Railroad spur crossing on Corson Ave.,"<h2>Goal</h2>
<p>Safety gates at the railroad spur crossing on Corson</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p>Reach out to Union Pacific</p>
",47.5509577907484,-122.320542004099
Airport Way,"<h2>Goal</h2>
<p>Crosswalks on Airport Way</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Cross walk added at the new traffic light (Stanley and Airport)</p>
<h2>Challenges and barriers</h2>
<p>Getting a pedestrian-operated light across Airport Way requires 200 people/hour. Not enough traffic to get city to install.</p>
<h2>Next Steps</h2>
<p>Provide red crossing flags for pedestrians.</p>
",47.5480677902742,-122.314682004003
Georgetown Steam Plant,"<h2>Goal</h2>
<p>Pedestrian and bicycle connections to the GT Steam Plant</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Seattle City Light is working with KCIA on this</p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.6062077998013,-122.332072004288
Perimeter Road S.,"<h2>Goal</h2>
<p>Widen and improve access points to Perimeter Road S.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.5361778832789,-122.301512003788
Orcas Traffic Control,"<h2>Goal</h2>
<p>Traffic control improvements along Orcas between 1st and 4th </p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.5519077909043,-122.334222004323
Orcas Traffic Control,"<h2>Goal</h2>
<p>Traffic control improvements along Orcas between 1st and 4th </p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.551877908992,-122.329562004247
6th Ave Improvements,"<h2>Goal</h2>
<p>Parking and pedestrian improvements along 6th Ave S.</p>
<h2>Status</h2>
<p>No Progress</p>
<h2>Progress Detail</h2>
<p></p>
<h2>Challenges and barriers</h2>
<p></p>
<h2>Next Steps</h2>
<p></p>
",47.5732177943948,-122.325982004188
8th Ave South,"<h2>Goal</h2>
<p>Maintain sidewalk on 8th Ave S to allow peds to walk safely to the park</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Project has stalled.</p>
<h2>Challenges and barriers</h2>
<p>Industrial nature of 8th Ave difficult for pedestrians</p>
<h2>Next Steps</h2>
<p>Work with businesses and SDOT on this.</p>
",47.5732877944072,-122.322520041333
Traffic Calming,"<h2>Goal</h2>
<p>Use traffic calming to protect residential streets</p>
<h2>Status</h2>
<p>In Progress</p>
<h2>Progress Detail</h2>
<p>Traffic circles installed throughout the neighborhoos with Neighborhood Street Fund grants</p>
<h2>Challenges and barriers</h2>
<p>Corgiat Mitigation not fully implemented on Corson</p>
<h2>Next Steps</h2>
<p>Neckdowns at Corson and Marginal; Ellis and Marginal; 12th and Vale</p>
",47.6062077998013,-122.332072004288
